STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,ADJUSTMENT,Adjustment,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,BRA,Brazil,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2019-Q3,,472615.6,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,NLD,Netherlands,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2024-Q4,,1251062.1,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,BRA,Brazil,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2024-Q2,,843471.6,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,BRA,Brazil,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2024-Q1,,816223.3,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,BRA,Brazil,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2023-Q4,,799496.2,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,BRA,Brazil,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2023-Q3,,771370.3,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,BRA,Brazil,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2023-Q2,,806848.5,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,BRA,Brazil,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2023-Q1,,851849.9,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,BRA,Brazil,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2022-Q4,,814461.3,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"Quarterly GDP and components - expenditure approach, US Dollars",I,Q,Quarterly,Y,Calendar and seasonally adjusted,BRA,Brazil,S1,Total economy,S1,Total economy,P6,Exports of goods and services,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",V,Current prices,LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2022-Q3,,839404.4,,,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,USD,US dollar
